srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,text_features,attack_context,multi_class_label
59.166.0.4,18538,149.171.126.3,5190,114,5,0.004711,1470,1728,31,29,5,4,0,2384207.25,2725536.0,22,14,255,255,3553082647,3553408444,67,123,0,0,13.806296,0.398794,1421943673,1421943673,0.224333,0.298923,0.00085,0.000693,0.000157,0,0,0.0,0.0,0,7,3,3,1,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Normal_Behavior,9
59.166.0.7,13357,149.171.126.8,53,120,2,0.001129,130,162,31,29,0,0,2,460584.5938,573959.25,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421938467,1421938467,0.011,0.009,0.0,0.0,0.0,0,0,0.0,0.0,0,3,2,2,5,2,1,1,unknown,0,Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
59.166.0.2,17183,149.171.126.1,8453,120,2,0.001669,536,304,31,29,0,0,0,1926902.375,1092870.0,4,4,0,0,0,0,134,76,0,0,0.595384,0.301227,1421931498,1421931498,0.425,0.217,0.0,0.0,0.0,0,0,0.0,0.0,0,3,7,4,2,1,1,2,unknown,0,Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Normal_Behavior,9
59.166.0.0,41545,149.171.126.3,111,120,2,0.004799,568,304,31,29,0,0,0,710147.9375,380079.1875,4,4,0,0,0,0,142,76,0,0,1.832116,1.5587,1421933634,1421933634,1.303,1.108667,0.0,0.0,0.0,0,0,0.0,0.0,0,5,13,7,3,1,1,3,unknown,0,Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
59.166.0.7,48802,149.171.126.7,8885,114,5,0.046752,320,1934,31,29,1,2,4,45687.88672,289698.8438,6,8,255,255,1069616460,3256988782,53,242,0,0,635.767815,15.66119,1421949564,1421949564,9.2858,6.587143,0.001479,0.000637,0.000842,0,0,0.0,0.0,0,3,3,5,3,1,1,2,unknown,0,Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
59.166.0.5,36650,149.171.126.0,53,120,2,0.001024,146,178,31,29,0,0,2,570312.5,695312.5,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421943077,1421943077,0.009,0.008,0.0,0.0,0.0,0,0,0.0,0.0,0,2,6,1,3,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
59.166.0.4,60070,149.171.126.9,21,114,5,0.846697,2934,3742,31,29,11,15,3,27192.72656,34704.26953,52,54,255,255,3987067023,1838507412,56,69,0,0,1415.323904,52.726066,1421928853,1421928854,16.595764,15.965472,0.000658,0.000523,0.000135,0,0,0.0,1.0,1,1,1,3,2,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:DNS Connection_State:State_5 Duration:0.8s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:DNS Connection_State:State_5 Duration:0.8s. Behavioral_Pattern: Normal_Behavior,9
59.166.0.8,39145,149.171.126.6,8158,114,5,0.350878,4384,2872,31,29,7,7,0,96124.57813,62973.45703,26,26,255,255,801152906,2949827042,169,110,0,0,928.582617,25.493488,1421940050,1421940051,14.02244,14.013,0.000698,0.00055,0.000148,0,0,0.0,0.0,0,7,9,1,1,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.4s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.4s. Behavioral_Pattern: Normal_Behavior,9
59.166.0.8,44976,149.171.126.7,29629,114,5,0.03204,2438,20194,31,29,7,13,0,592759.0625,4916354.5,38,40,255,255,3476166388,1326925528,64,505,0,0,62.724683,60.505916,1421934128,1421934128,0.856135,0.806333,0.00072,0.000582,0.000138,0,0,0.0,0.0,0,11,10,3,4,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Multiple_Services_From_Source,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Multiple_Services_From_Source,9
59.166.0.3,9867,149.171.126.4,22,114,5,0.006483,3728,5474,31,29,7,7,11,4457196.0,6473546.5,32,24,255,255,3708295541,3708615738,117,228,0,0,13.073071,0.365882,1421928945,1421928945,0.209129,0.249522,0.000763,0.000608,0.000155,0,0,0.0,0.0,0,2,1,1,3,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:Service_11 Connection_State:State_5 Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:Service_11 Connection_State:State_5 Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,9
59.166.0.3,64512,149.171.126.8,18775,114,5,0.025841,2750,27620,31,29,7,16,0,832165.9375,8365001.5,44,46,255,255,762233729,2907954730,63,600,0,0,39.883408,37.61689,1421932627,1421932627,0.59393,0.572523,0.0008,0.00064,0.00016,0,0,0.0,0.0,0,14,7,3,7,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Multiple_Services_From_Source Potential_DoS_Inbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Multiple_Services_From_Source Potential_DoS_Inbound,9
59.166.0.9,4101,149.171.126.4,47977,114,5,0.050942,2542,23508,31,29,7,14,0,389305.5,3603941.75,40,42,255,255,304646685,328442903,64,560,0,0,76.334147,74.827061,1421929870,1421929870,1.297744,1.228537,0.000716,0.000567,0.000149,0,0,0.0,0.0,0,8,3,2,2,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Normal_Behavior,9
59.166.0.0,21796,149.171.126.3,53,120,2,0.001056,146,178,31,29,0,0,2,553030.3125,674242.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421928152,1421928152,0.011,0.002,0.0,0.0,0.0,0,0,0.0,0.0,0,3,4,4,3,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
59.166.0.1,44938,149.171.126.9,46397,120,2,0.001707,520,304,31,29,0,0,0,1827768.0,1068541.375,4,4,0,0,0,0,130,76,0,0,0.621546,0.287792,1421933292,1421933292,0.444,0.211,0.0,0.0,0.0,0,0,0.0,0.0,0,10,8,4,3,1,1,3,unknown,0,Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Normal_Behavior,9
59.166.0.4,52840,149.171.126.2,53,120,2,0.001095,146,178,31,29,0,0,0,533333.375,650228.3125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421945508,1421945508,0.007,0.007,0.0,0.0,0.0,0,0,0.0,0.0,0,15,2,3,18,9,3,3,unknown,0,Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Multiple_Services_From_Source Multiple_Destination_Ports,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Multiple_Services_From_Source Multiple_Destination_Ports,9
59.166.0.0,24739,149.171.126.5,143,114,5,3.339988,7808,15088,31,29,30,32,0,18548.57031,35854.01953,122,126,255,255,2787400199,2908408481,64,120,0,0,1533.918805,1509.382563,1421940415,1421940419,27.600256,26.715825,0.000653,0.000506,0.000147,0,0,0.0,0.0,0,8,4,1,1,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Duration:3.3s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Duration:3.3s. Behavioral_Pattern: Normal_Behavior,9
59.166.0.0,7857,149.171.126.6,53,120,2,0.001045,146,178,31,29,0,0,2,558851.625,681339.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421943176,1421943176,0.01,0.008,0.0,0.0,0.0,0,0,0.0,0.0,0,2,5,3,3,2,1,2,unknown,0,Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
59.166.0.0,21894,149.171.126.0,53,120,2,0.001374,130,162,31,29,0,0,2,378457.0625,471615.7188,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421930083,1421930083,0.01,0.002,0.0,0.0,0.0,0,0,0.0,0.0,0,1,2,1,3,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
59.166.0.3,17653,149.171.126.3,111,120,2,0.086211,568,312,31,29,0,0,0,39530.91797,21714.16602,4,4,0,0,0,0,142,78,0,0,33.474199,33.87018,1421947967,1421947967,23.680334,23.955334,0.0,0.0,0.0,0,0,0.0,0.0,0,4,10,5,3,1,1,3,unknown,0,Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
59.166.0.4,39173,149.171.126.0,7539,114,5,0.017803,2438,19918,31,29,7,13,0,1066786.5,8727068.0,38,40,255,255,3733397222,3757749214,64,498,0,0,0.0,30.449604,1421948667,1421948667,0.472459,0.442154,0.000728,0.000555,0.000173,0,0,0.0,0.0,0,2,7,5,2,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,9
59.166.0.5,59850,149.171.126.1,18939,114,5,0.016989,2766,27770,31,29,7,16,0,1273294.5,12792748.0,44,46,255,255,1340525110,1340822044,63,604,0,0,21.187212,20.403445,1421930065,1421930065,0.38714,0.351911,0.001298,0.001141,0.000157,0,0,0.0,0.0,0,8,15,2,2,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,9
59.166.0.6,22032,149.171.126.0,6881,114,5,14.389038,24328,1094788,31,29,38,390,0,13494.7168,607970.0625,432,858,255,255,651350195,757866189,56,1276,0,0,15224.89085,10787.14858,1421929696,1421929710,33.384419,16.789355,0.000697,0.00055,0.000147,0,0,0.0,0.0,0,13,7,6,6,2,1,2,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Outbound_Traffic High_Inbound_Traffic Duration:14.4s. Behavioral_Pattern: Multiple_Services_From_Source,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Outbound_Traffic High_Inbound_Traffic Duration:14.4s. Behavioral_Pattern: Multiple_Services_From_Source,9
59.166.0.0,14466,149.171.126.9,12715,114,5,0.255016,3806,52378,31,29,7,26,0,117545.5625,1618251.375,64,66,255,255,4129663941,4129978368,59,794,0,0,250.274714,246.665387,1421943649,1421943650,4.042429,3.914138,0.000723,0.000586,0.000137,0,0,0.0,0.0,0,1,7,2,1,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Duration:0.3s High_Destination_Load. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Duration:0.3s High_Destination_Load. Behavioral_Pattern: Normal_Behavior,9
59.166.0.3,30916,149.171.126.5,42386,114,5,0.002924,320,1880,31,29,1,2,4,730506.1875,4500684.0,6,8,255,255,3789681570,1644026027,53,235,0,0,28.548035,0.557478,1421948030,1421948030,0.5216,0.340429,0.000697,0.000537,0.00016,0,0,0.0,0.0,0,3,3,4,5,1,1,4,unknown,0,Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Normal_Behavior,9
59.166.0.3,8663,149.171.126.6,80,114,5,1.076957,1580,10168,31,29,3,5,5,10763.66113,71341.75,12,18,255,255,4254309246,2110025524,132,565,1,3924,9898.268488,7971.085959,1421938470,1421938472,97.873094,63.318997,0.000674,0.000527,0.000147,0,0,1.0,0.0,0,1,2,1,4,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 High_Inbound_Traffic Duration:1.1s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 High_Inbound_Traffic Duration:1.1s. Behavioral_Pattern: Normal_Behavior,9
59.166.0.1,33692,149.171.126.5,52237,114,5,0.020968,2766,27770,31,29,7,16,0,1031667.313,10365128.0,44,46,255,255,2443278125,294002241,63,604,0,0,29.440976,27.537892,1421930210,1421930210,0.480046,0.450909,0.00129,0.001117,0.000173,0,0,0.0,0.0,0,13,2,2,5,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Multiple_Services_From_Source Potential_DoS_Inbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Multiple_Services_From_Source Potential_DoS_Inbound,9
59.166.0.9,10606,149.171.126.4,53,120,2,0.001006,146,178,31,29,0,0,2,580516.9375,707753.5,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421931833,1421931833,0.011,0.009,0.0,0.0,0.0,0,0,0.0,0.0,0,2,1,1,5,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
59.166.0.1,43359,149.171.126.2,80,114,5,0.003879,1036,824,31,29,2,2,0,1870585.25,1530291.375,8,10,255,255,962498317,3108938939,130,82,0,0,31.932827,0.661963,1421932685,1421932685,0.504,0.371556,0.000666,0.000531,0.000135,0,0,0.0,0.0,0,11,12,1,2,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Multiple_Services_From_Source,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Multiple_Services_From_Source,9
59.166.0.4,37467,149.171.126.2,53,120,2,0.001076,146,178,31,29,0,0,2,542750.9375,661710.0,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421942924,1421942924,0.011,0.009,0.0,0.0,0.0,0,0,0.0,0.0,0,3,2,2,3,1,1,2,unknown,0,Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
